station_id,city,heading,hour,is_weekend,share,n_obs,mean_total_veh_h,hw_rank,speed_kmh,lanes,oneway,dist_centre_km,radial_cos,res_behind_km,res_ahead_km,res_asym,major_behind_km,major_ahead_km,major_asym,am_pm_ratio,peak_hour_am,peak_hour_pm,weekend_ratio
06970V72811,trondheim,Trondheim (Sluppen),6,1,0.6072,8,289.9,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),7,0,0.5958,20,5092.6,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),7,1,0.5043,8,569.6,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),8,0,0.5914,20,3972.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),8,1,0.4677,8,837.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),9,0,0.546,20,3027.2,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),9,1,0.5041,8,1347.6,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),10,0,0.511,20,3080.0,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),10,1,0.5215,8,1934.8,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),11,0,0.5088,20,3268.2,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),11,1,0.5115,8,2404.2,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),12,0,0.4925,20,3442.1,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),12,1,0.5326,8,2705.0,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),13,0,0.4774,20,3754.9,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),13,1,0.5207,8,2898.1,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),14,0,0.4481,20,4417.8,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),14,1,0.5207,8,3025.4,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),15,0,0.419,20,5929.9,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),15,1,0.504,8,3105.8,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),16,0,0.4532,20,4655.1,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),16,1,0.4843,8,2983.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),17,0,0.4849,20,3362.3,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),17,1,0.498,8,2755.1,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),18,0,0.4842,20,2931.2,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),18,1,0.5257,8,2511.8,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),19,0,0.4887,20,2475.0,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),19,1,0.5285,8,2125.4,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),20,0,0.4811,20,2122.4,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),20,1,0.5336,8,1765.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),21,0,0.4987,20,1570.6,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),21,1,0.5379,8,1281.5,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),22,0,0.4761,20,1028.1,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),22,1,0.5059,8,948.4,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),23,0,0.422,20,689.9,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
06970V72811,trondheim,Trondheim (Sluppen),23,1,0.4586,8,798.8,1.0,80.0,3.0,1.0,4.3360578139326025,0.9000837914668061,18.689,9.91,0.3069,4.998,5.142,-0.0142,0.8958,7.0,15.0,0.2462
